last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Sosa, Lenyn,672820,2022,.193,.346,.243,.215,.153,86.6,5.7,30.4,8.7,
Robert Jr., Luis,673357,2022,.272,.449,.327,.307,.178,89.3,10,32.6,8.9,
Kim, Ha-Seong,673490,2022,.250,.368,.309,.324,.119,86.7,16.1,34,4.2,
Suzuki, Seiya,673548,2022,.247,.418,.326,.325,.172,89.6,11.2,36.9,11,
Jung, Josh,673962,2022,.225,.403,.287,.255,.178,85.5,14.3,40.7,10.2,
Smith, Kevin,675656,2022,.189,.322,.239,.225,.133,87,16.4,32.4,7.8,
Velazquez, Nelson,676369,2022,.209,.399,.305,.291,.190,89.2,12.3,35,13.3,
Clement, Ernie,676391,2022,.235,.328,.277,.290,.093,85,11.8,27.1,3.6,
Burleson, Alec,676475,2022,.251,.419,.325,.322,.167,91.7,4,35.9,10.3,
Barrero, Jose,676480,2022,.140,.211,.180,.185,.071,87.5,17.7,33.7,2.2,
Contreras, Mark,676628,2022,.204,.424,.304,.240,.220,94.9,13.9,28.9,31.6,
Madris, Bligh,676632,2022,.211,.309,.262,.275,.098,88.9,10.5,30.5,4.9,
Reks, Zach,676646,2022,.223,.309,.230,.223,.085,86.3,19,33.3,0,
Meyers, Jake,676694,2022,.205,.292,.251,.254,.086,87.3,7.2,30.9,5.2,
Trejo, Alan,676701,2022,.242,.375,.291,.285,.133,86.2,13.6,37.9,4.6,
McCormick, Chas,676801,2022,.232,.414,.325,.321,.183,88.1,12.8,33.5,10.2,
MacKinnon, David,676950,2022,.208,.280,.259,.289,.072,85,8.2,26.5,2.9,
Franco, Wander,677551,2022,.285,.408,.331,.340,.123,87.3,8.2,35.1,4.6,
Rodriguez, Julio,677594,2022,.254,.460,.337,.319,.206,92,10.1,32.7,13.1,
Duran, Ezequiel,677649,2022,.216,.317,.256,.259,.101,85.9,9.5,24.7,4.5,
Thomas, Alek,677950,2022,.238,.335,.277,.285,.097,87.4,2.6,27.9,3.8,
Witt Jr., Bobby,677951,2022,.252,.427,.313,.294,.174,89.7,16.8,32.5,8.7,
Groshans, Jordan,677954,2022,.234,.305,.263,.281,.071,87.1,5,37.5,2.1,
Bae, Ji Hwan,678225,2022,.244,.270,.280,.325,.026,83.2,4.4,25.9,0,
Vargas, Miguel,678246,2022,.203,.336,.255,.239,.133,89.7,25.9,25.7,8.6,
Tovar, Ezequiel,678662,2022,.249,.390,.300,.292,.141,88.6,8.5,37.5,12.5,
Torkelson, Spencer,679529,2022,.226,.378,.305,.307,.151,90.5,15,35.4,8.4,
Vavra, Terrin,679631,2022,.264,.353,.318,.348,.089,87.5,10.7,37.5,1.4,
Palacios, Richie,680700,2022,.244,.310,.277,.308,.066,85,13.5,26.9,1.1,
Kwan, Steven,680757,2022,.268,.341,.312,.348,.073,85.1,11.8,34.6,1.4,
Duran, Jarren,680776,2022,.219,.353,.282,.281,.134,89.3,7.6,27.5,7.7,
Jeffers, Ryan,680777,2022,.218,.424,.315,.295,.206,88.2,18.2,35.8,13.2,
